"","usertype","weekday","number_of_rides","average_duration"
"1","Customer","dom\.",170179,56.1807458617103
"2","Customer","lun\.",101489,54.495556661313
"3","Customer","mar\.",88655,57.4092468933882
"4","Customer","mié\.",89745,60.3327269857188
"5","Customer","jue\.",101371,58.1995896262245
"6","Customer","vie\.",121141,60.1725229278279
"7","Customer","sáb\.",208056,54.0594783776163
"8","Subscriber","dom\.",256241,15.3972916121932
"9","Subscriber","lun\.",458780,14.2441831596844
"10","Subscriber","mar\.",497025,14.1479073822578
"11","Subscriber","mié\.",494277,13.8051738195384
"12","Subscriber","jue\.",486915,13.7750646759017
"13","Subscriber","vie\.",456966,13.8930016310477
"14","Subscriber","sáb\.",287163,16.298567480258
