"","usertype","mes","number_of_rides","average_duration"
"1","Customer","ene",4602,47.3247175141243
"2","Customer","feb",2637,78.43961572494
"3","Customer","mar",15923,52.2945979610207
"4","Customer","abr",47744,50.9424528038427
"5","Customer","may",81624,51.2383608579176
"6","Customer","jun",130218,45.920041648108
"7","Customer","jul",175632,59.7776624798822
"8","Customer","ago",186889,66.9992025569545
"9","Customer","sep",129173,51.6592476755978
"10","Customer","oct",71035,59.0057516247859
"11","Customer","nov",18729,67.0404043639988
"12","Customer","dic",16430,63.3243152769324
"13","Subscriber","ene",98670,15.6494351542178
"14","Subscriber","feb",93548,13.40233890623
"15","Subscriber","mar",149688,13.0375440917108
"16","Subscriber","abr",217566,13.5127925166003
"17","Subscriber","may",285834,13.8498969098614
"18","Subscriber","jun",345177,14.5474411195802
"19","Subscriber","jul",381683,16.4266137955668
"20","Subscriber","ago",403295,16.1772305632353
"21","Subscriber","sep",364046,14.1223047362147
"22","Subscriber","oct",300751,13.0231631260855
"23","Subscriber","nov",158447,12.4263975756352
"24","Subscriber","dic",138662,11.4068433793445
